USDB,sampling_date,sampling_year,contaminant,measval,measval_num_calc,measval_cen_calc
266,2006-06-07,2006,DDEPP,210,210,FALSE
267,2006-06-12,2006,DDEPP,500,500,FALSE
268,2006-06-12,2006,DDEPP,170,170,FALSE
269,2006-06-12,2006,DDEPP,2000,2000,FALSE
270,2006-06-12,2006,DDEPP,110,110,FALSE
271,2006-06-12,2006,DDEPP,300,300,FALSE
272,2006-06-12,2006,DDEPP,210,210,FALSE
273,2006-06-01,2006,DDEPP,100,100,FALSE
274,2006-06-01,2006,DDEPP,380,380,FALSE
302,2008-06-01,2008,DDEPP,380,380,FALSE
299,2008-06-01,2008,DDEPP,490,490,FALSE
300,2008-06-01,2008,DDEPP,650,650,FALSE
301,2008-06-01,2008,DDEPP,260,260,FALSE
303,2008-06-01,2008,DDEPP,280,280,FALSE
304,2008-06-01,2008,DDEPP,200,200,FALSE
305,2008-06-01,2008,DDEPP,260,260,FALSE
306,2008-06-01,2008,DDEPP,790,790,FALSE
307,2008-06-01,2008,DDEPP,380,380,FALSE
308,2008-06-01,2008,DDEPP,180,180,FALSE
309,2008-06-01,2008,DDEPP,260,260,FALSE
310,2008-06-01,2008,DDEPP,180,180,FALSE
311,2008-06-01,2008,DDEPP,160,160,FALSE
312,2008-06-01,2008,DDEPP,150,150,FALSE
313,2008-06-01,2008,DDEPP,290,290,FALSE
314,2008-06-01,2008,DDEPP,200,200,FALSE
315,2008-06-01,2008,DDEPP,140,140,FALSE
316,2008-06-01,2008,DDEPP,290,290,FALSE
317,2008-06-01,2008,DDEPP,160,160,FALSE
336,2010-06-01,2010,DDEPP,140,140,FALSE
337,2010-06-01,2010,DDEPP,170,170,FALSE
338,2010-06-01,2010,DDEPP,170,170,FALSE
339,2010-06-01,2010,DDEPP,120,120,FALSE
340,2010-06-01,2010,DDEPP,300,300,FALSE
341,2010-06-01,2010,DDEPP,150,150,FALSE
342,2010-06-01,2010,DDEPP,250,250,FALSE
343,2010-06-01,2010,DDEPP,170,170,FALSE
344,2010-06-01,2010,DDEPP,290,290,FALSE
345,2010-06-01,2010,DDEPP,180,180,FALSE
349,2010-06-01,2010,DDEPP,120,120,FALSE
350,2010-06-01,2010,DDEPP,210,210,FALSE
351,2010-06-01,2010,DDEPP,250,250,FALSE
352,2010-06-01,2010,DDEPP,150,150,FALSE
353,2010-06-01,2010,DDEPP,160,160,FALSE
354,2010-06-01,2010,DDEPP,220,220,FALSE
348,2010-06-01,2010,DDEPP,140,140,FALSE
347,2010-06-01,2010,DDEPP,110,110,FALSE
346,2010-06-01,2010,DDEPP,210,210,FALSE
335,2010-06-01,2010,DDEPP,230,230,FALSE
373,2012-06-01,2012,DDEPP,130,130,FALSE
372,2012-06-01,2012,DDEPP,190,190,FALSE
374,2012-06-01,2012,DDEPP,170,170,FALSE
375,2012-06-01,2012,DDEPP,150,150,FALSE
376,2012-06-01,2012,DDEPP,89,89,FALSE
377,2012-06-01,2012,DDEPP,170,170,FALSE
378,2012-06-01,2012,DDEPP,200,200,FALSE
379,2012-06-01,2012,DDEPP,140,140,FALSE
380,2012-06-01,2012,DDEPP,140,140,FALSE
381,2012-06-01,2012,DDEPP,170,170,FALSE
382,2013-06-06,2013,DDEPP,150,150,FALSE
383,2013-06-06,2013,DDEPP,190,190,FALSE
384,2013-06-06,2013,DDEPP,210,210,FALSE
385,2013-06-06,2013,DDEPP,210,210,FALSE
386,2013-06-06,2013,DDEPP,270,270,FALSE
387,2013-06-06,2013,DDEPP,240,240,FALSE
388,2013-06-06,2013,DDEPP,380,380,FALSE
417,2014-06-13,2014,DDEPP,240,240,FALSE
418,2014-06-13,2014,DDEPP,270,270,FALSE
419,2014-06-13,2014,DDEPP,250,250,FALSE
410,2014-06-13,2014,DDEPP,170,170,FALSE
420,2014-06-13,2014,DDEPP,340,340,FALSE
411,2014-06-13,2014,DDEPP,180,180,FALSE
412,2014-06-13,2014,DDEPP,190,190,FALSE
413,2014-06-13,2014,DDEPP,180,180,FALSE
414,2014-06-13,2014,DDEPP,170,170,FALSE
415,2014-06-13,2014,DDEPP,190,190,FALSE
416,2014-06-13,2014,DDEPP,190,190,FALSE
409,2014-06-13,2014,DDEPP,140,140,FALSE
408,2014-06-13,2014,DDEPP,210,210,FALSE
407,2014-06-13,2014,DDEPP,180,180,FALSE
406,2014-06-13,2014,DDEPP,160,160,FALSE
405,2014-06-13,2014,DDEPP,260,260,FALSE
